image,Name,Full Birthdate,Ethnicity,Hair Color,Eye Color,Gender,Decade of Birth,Total GIFs,Sources,Link 1 Text,Link 1 URL,Link 2 Text,Link 2 URL,Link 3 Text,Link 3 URL,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/ac30b48ce14e8b800a63d089824d9cc5/2e176be7b645b07c-85/s540x810/e6f90bc4ffa6c820c0ddf456cbf8b067c0dc89f1.gif,Bensu Soral,"Mar 23, 1991",Turkish,Brown,Brown,Female,1990s,1440,"ICERDE, CAM TAVANLAR",ICERDE (MISC),https://sites.google.com/view/tessgifs/b/bensu-soral/icerde-misc,ICERDE (29),https://sites.google.com/view/tessgifs/b/bensu-soral/icerde-29,CAM TAVANLAR (2),https://sites.google.com/view/tessgifs/b/bensu-soral/cam-tavanlar-2,CAM TAVANLAR (7),https://sites.google.com/view/tessgifs/b/bensu-soral/cam-tavanlar-7,CAM TAVANLAR (8),https://sites.google.com/view/tessgifs/b/bensu-soral/cam-tavanlar-8,,,,,,,,,,,,,,
https://64.media.tumblr.com/26a5c713cde0902cbbe2c82c759c1964/a836ccf2bfa4c037-f9/s540x810/eca10b62090d30c754e7b352067a3407e1f07e3d.gif,Beren Saat,"Feb 26, 1984",Turkish,Dark Brown,Brown,Female,1980s,665,MAGNIFICENT CENTURY: KOSEM,magnificent century: kosem,https://sites.google.com/view/tessgifs/b/beren-saat/magnificent-century-7,https://sites.google.com/view/tessgifs/b/beren-saat/magnificent-century-8,https://sites.google.com/view/tessgifs/b/beren-saat/magnificent-century-9,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/e93cf5a9df8a65bbca31839ae3fb15a4/ec988098eebce49a-e1/s540x810/b491f29e95571510a3e88c67052a121d3d33a1d8.gif,Berk Atan,"Sep 26, 1991",Turkish,Brown,Brown,Male,1990s,830,"CENNET'IN GOZYASLARI, DAYAN YUREGIM, GONUL DAGI","cennet'in gozyaslari, dayan yuregim, gonul dagi",https://sites.google.com/view/tessgifs/b/berk-atan/cennetin-gozyaslari-misc,https://sites.google.com/view/tessgifs/b/berk-atan/dayan-yuregim-misc,https://sites.google.com/view/tessgifs/b/berk-atan/dayan-yuregim-3,https://sites.google.com/view/tessgifs/b/berk-atan/dayan-yuregim-11,https://sites.google.com/view/tessgifs/b/berk-atan/gonul-dagi-24,,,,,,,,,,,,,,,,,,
https://66.media.tumblr.com/07ccf9d6411e17e6431b84517112d582/tumblr_inline_po0qr5Ht821uy9est_540.gif,Berk Cankat,"Dec 18, 1990",Turkish,Brown,Brown,Male,1990s,652,"YILDIZLAR SHIDIM, SIFIRINCI GUN","yildizlar shidim, sifirinci gun",https://sites.google.com/view/tessgifs/b/berk-cankat/yildizar-sahidim,https://sites.google.com/view/tessgifs2023/berk-cankat/sefirinci-gun,,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/3a51f4d6714ab81d5eb62b4546a398d9/ec988098eebce49a-dd/s540x810/aac65efdb177594cfc55c99145976f4d01182ac2.gif,Berkay Hardal,"Nov 6, 1993",Turkish,Brown,Brown,Male,1990s,518,"YOUTUBE, MELEKLERIN ASKI","youtube, meleklerin aski",https://sites.google.com/view/tessgifs/b/berkay-hardal/misc-youtube,https://sites.google.com/view/tessgifs/b/berkay-hardal/meleklerin-aski-1,,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/08dbc643340ee2e39c689fdd2f9ef7f3/a12c3e01c57bd3a6-61/s540x810/5d85afe28309b9e692b5f1649860fbf598621d6b.gif,Berker Guven,"Dec 7, 1989",Turkish,Dark Brown,Brown,Male,1980s,1210,"ZALIM ISTANBUL, UC KIZ KARDES","zalim istanbul, uc kiz kardes",https://sites.google.com/view/tessgifs/b/berker-guven/zalim-istanbul-37,https://sites.google.com/view/tessgifs/b/berker-guven/zalim-istanbul-21,https://sites.google.com/view/tessgifs/b/berker-guven/zalim-istanbul-36,https://sites.google.com/view/tessgifs/b/berker-guven/uc-kiz-kardes-3,https://sites.google.com/view/tessgifs2023/berker-guven/uc-kiz-kardes,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/f58f42191502014d133ce2568c9eaefd/a836ccf2bfa4c037-bb/s540x810/bcd847f3bdcae85c80e89cc2e226ed1a534e0fbc.gif,Bestemsu Ozdemir,"Jul 26, 1989",Turkish,Brown,Brown,Female,1980s,72,MERYEM,meryem,https://sites.google.com/view/tessgifs/b/bestemsu-ozdemir/meryem-23-25,,,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/83f8889f2e6e31b2d6668a3f53458985/0157f5324dadc63c-f4/s540x810/50f5432d62f786fa509b97aeec8ec19fe5ecbb73.gif,Biran Damla Yilmaz,"Jun 18, 1997",Turkish,Brown,Brown,Female,1990s,588,"YASAK ELMA, BARAJ","yasak elma, baraj","https://sites.google.com/view/tessgifs/b/biran-damla-yilmaz/yasak-elma-111-112, https://sites.google.com/view/tessgifs/b/biran-damla-yilmaz/baraj-misc, https://sites.google.com/view/tessgifs/b/biran-damla-yilmaz/yasak-elma-146",,,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/d2a2d240c144bc84d6f474c685146107/a836ccf2bfa4c037-f7/s540x810/b972d664bc997fdf92e8f5b8120d34e002a826ed.gif,Birkan Sokullu,,,,,,,699,"HAYAT SARKISI, MASUMLAR APARTMANI, BIR AILE HIKAYESI","hayat sarkisi, masumlar apartmani, bir aile hikayesi","https://sites.google.com/view/tessgifs/b/birkan-sokullu/hayat-sarkisi-18, https://sites.google.com/view/tessgifs/b/birkan-sokullu/masumlar-apartmani-misc, https://sites.google.com/view/tessgifs/b/birkan-sokullu/bir-aile-hikayes-18",,,,,,,,,,,,,,,,,,,,,,
https://66.media.tumblr.com/0b970d6759a06980f6cb1c721f7d64ca/tumblr_inline_po5zx12zfC1uy9est_540.gif,Britt Robertson,"Apr 18, 1990",Caucasian,Blonde,Blue,Female,1990s,725,"ASK ME ANYTHING, FOR THE PEOPLE","ask me anything, for the people","https://sites.google.com/view/tessgifs/b/britt-robertson/ask-me-anything, https://sites.google.com/view/tessgifs/b/britt-robertson/for-the-people",,,,,,,,,,,,,,,,,,,,,,
